"Código técnico";"Formulario REM";Sección;Columna;"Nombre funcional de la variable";"Tipo de regla";Descripción;"Lógica resumida";"Fórmula Excel (técnico)";"Rango de filas";"Nivel de importancia";Estado;Fuente;"Observación para revisión";"Validado por Estadística";"Comentario Estadística"
a07_b_q_sum_equals;A07;B;Q;"65 - 69 años";"Suma igual al Total";"Valida que la suma de las columnas Q sea igual al total de la columna Q (Filas 129–145). Variable: 65 - 69 años. De lo contrario, se marca como observación.";"Suma(Q) = Columna Q";;"Filas 129–145";Error;Activa;"Estructura Excel";;;
a07_b_r_sum_equals;A07;B;R;"70 - 74 años";"Suma igual al Total";"Valida que la suma de las columnas R sea igual al total de la columna R (Filas 129–145). Variable: 70 - 74 años. De lo contrario, se marca como observación.";"Suma(R) = Columna R";;"Filas 129–145";Error;Activa;"Estructura Excel";;;
a07_b_s_sum_equals;A07;B;S;"75 - 79 años";"Suma igual al Total";"Valida que la suma de las columnas S sea igual al total de la columna S (Filas 129–145). Variable: 75 - 79 años. De lo contrario, se marca como observación.";"Suma(S) = Columna S";;"Filas 129–145";Error;Activa;"Estructura Excel";;;
a07_b_t_sum_equals;A07;B;T;"80  años y mas";"Suma igual al Total";"Valida que la suma de las columnas T sea igual al total de la columna T (Filas 129–145). Variable: 80  años y mas. De lo contrario, se marca como observación.";"Suma(T) = Columna T";;"Filas 129–145";Error;Activa;"Estructura Excel";;;
a07_b_u_sum_equals;A07;B;U;"Trans Masculino";"Suma igual al Total";"Valida que la suma de las columnas U sea igual al total de la columna U (Filas 129–145). Variable: Trans Masculino. De lo contrario, se marca como observación.";"Suma(U) = Columna U";;"Filas 129–145";Error;Activa;"Estructura Excel";;;
a07_b_v_sum_equals;A07;B;V;"Trans Femenino";"Suma igual al Total";"Valida que la suma de las columnas V sea igual al total de la columna V (Filas 129–145). Variable: Trans Femenino. De lo contrario, se marca como observación.";"Suma(V) = Columna V";;"Filas 129–145";Error;Activa;"Estructura Excel";;;
a07_c_ap_sum_equals;A07;C;AP;Beneficiarios;"Suma igual al Total";"Valida que la suma de las columnas AP sea igual al total de la columna AP (Filas 151–161). Variable: Beneficiarios. De lo contrario, se marca como observación.";"Suma(AP) = Columna AP";;"Filas 151–161";Error;Activa;"Estructura Excel";;;
a07_c_aq_sum_equals;A07;C;AQ;"Total Controles (incluidos en grupo de edad)";"Suma igual al Total";"Valida que la suma de las columnas AQ sea igual al total de la columna AQ (Filas 151–161). Variable: Total Controles (incluidos en grupo de edad). De lo contrario, se marca como observación.";"Suma(AQ) = Columna AQ";;"Filas 151–161";Error;Activa;"Estructura Excel";;;
a07_c_ar_sum_equals;A07;C;AR;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas AR sea igual al total de la columna AR (Filas 151–161). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(AR) = Columna AR";;"Filas 151–161";Error;Activa;"Estructura Excel";;;
a07_c_as_sum_equals;A07;C;AS;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AS sea igual al total de la columna AS (Filas 151–161). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AS) = Columna AS";;"Filas 151–161";Error;Activa;"Estructura Excel";;;
a07_f_c_sum_equals;A07;F;C;"Ambos sexos";"Suma igual al Total";"Valida que la suma de las columnas D + E sea igual al total de la columna C (Fila 196). Variable: Ambos sexos. De lo contrario, se marca como observación.";"Suma(D + E) = Columna C";;"Fila 196";Error;Activa;"Estructura Excel";;;
a07_f_d_sum_equals;A07;F;D;Hombres;"Suma igual al Total";"Valida que la suma de las columnas F + H + J + L + N + P + R sea igual al total de la columna D. Variable: Hombres. De lo contrario, se marca como observación.";"Suma(F + H + J + L + N + P + R) = Columna D";;—;Error;Activa;"Estructura Excel";;;
a07_f_e_sum_equals;A07;F;E;Mujeres;"Suma igual al Total";"Valida que la suma de las columnas G + I + K + M + O + Q + S sea igual al total de la columna E. Variable: Mujeres. De lo contrario, se marca como observación.";"Suma(G + I + K + M + O + Q + S) = Columna E";;—;Error;Activa;"Estructura Excel";;;
a07_g_c_sum_equals;A07;G;C;Total;"Suma igual al Total";"Valida que la suma de las columnas F + G + H + I sea igual al total de la columna C (Fila 207). Variable: Total. De lo contrario, se marca como observación.";"Suma(F + G + H + I) = Columna C";;"Fila 207";Error;Activa;"Estructura Excel";;;
a07_g_d_sum_equals;A07;G;D;Hombres;"Suma igual al Total";"Valida que la suma de las columnas F + H sea igual al total de la columna D. Variable: Hombres. De lo contrario, se marca como observación.";"Suma(F + H) = Columna D";;—;Error;Activa;"Estructura Excel";;;
a07_g_e_sum_equals;A07;G;E;Mujeres;"Suma igual al Total";"Valida que la suma de las columnas G + I sea igual al total de la columna E. Variable: Mujeres. De lo contrario, se marca como observación.";"Suma(G + I) = Columna E";;—;Error;Activa;"Estructura Excel";;;
a07_h_b_sum_equals;A07;H;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E + F + G + H + I + J sea igual al total de la columna B (Fila 213). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E + F + G + H + I + J) = Columna B";;"Fila 213";Error;Activa;"Estructura Excel";;;
a08_c_b_sum_equals;A08;C;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D + E sea igual al total de la columna B (Fila 81). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D + E) = Columna B";;"Fila 81";Error;Activa;"Estructura Excel";;;
a08_c_c_sum_equals;A08;C;C;"De turno";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 81–100). Variable: De turno. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 81–100";Error;Activa;"Estructura Excel";;;
a08_c_d_sum_equals;A08;C;D;"Consultor de llamada";"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 81–100). Variable: Consultor de llamada. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 81–100";Error;Activa;"Estructura Excel";;;
a08_c_e_sum_equals;A08;C;E;Otros;"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 81–100). Variable: Otros. De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 81–100";Error;Activa;"Estructura Excel";;;
a08_d_an_sum_equals;A08;D;AN;Beneficiarios;"Suma igual al Total";"Valida que la suma de las columnas AN sea igual al total de la columna AN (Filas 107–113). Variable: Beneficiarios. De lo contrario, se marca como observación.";"Suma(AN) = Columna AN";;"Filas 107–113";Error;Activa;"Estructura Excel";;;
a08_d_ao_sum_equals;A08;D;AO;"Hospitalización Domiciliaria";"Suma igual al Total";"Valida que la suma de las columnas AO sea igual al total de la columna AO (Filas 107–109). Variable: Hospitalización Domiciliaria. De lo contrario, se marca como observación.";"Suma(AO) = Columna AO";;"Filas 107–109";Error;Activa;"Estructura Excel";;;
a08_h_c_sum_equals;A08;H;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas D + E + F + G + H + I sea igual al total de la columna C (Fila 141). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(D + E + F + G + H + I) = Columna C";;"Fila 141";Error;Activa;"Estructura Excel";;;
a08_i_b_sum_equals;A08;I;B;Cantidad;"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 146–157). Variable: Cantidad. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 146–157";Error;Activa;"Estructura Excel";;;
a08_p_b_sum_equals;A08;P;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D sea igual al total de la columna B (Fila 199). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D) = Columna B";;"Fila 199";Error;Activa;"Estructura Excel";;;
a08_r_o_sum_equals;A08;R;O;"Indicación de Vacuna";"Suma igual al Total";"Valida que la suma de las columnas O sea igual al total de la columna O (Filas 211–215). Variable: Indicación de Vacuna. De lo contrario, se marca como observación.";"Suma(O) = Columna O";;"Filas 211–215";Error;Activa;"Estructura Excel";;;
a09_b_aq_sum_equals;A09;B;AQ;"12 años (incluido en el grupo de 10-14 años)";"Suma igual al Total";"Valida que la suma de las columnas AQ sea igual al total de la columna AQ (Filas 21–38). Variable: 12 años (incluido en el grupo de 10-14 años). De lo contrario, se marca como observación.";"Suma(AQ) = Columna AQ";;"Filas 21–38";Error;Activa;"Estructura Excel";;;
a09_b_ar_sum_equals;A09;B;AR;Gestantes;"Suma igual al Total";"Valida que la suma de las columnas AR sea igual al total de la columna AR (Filas 21–38). Variable: Gestantes. De lo contrario, se marca como observación.";"Suma(AR) = Columna AR";;"Filas 21–38";Error;Activa;"Estructura Excel";;;
a09_b_as_sum_equals;A09;B;AS;"60 años (incluido en grupos de 60-64 años)";"Suma igual al Total";"Valida que la suma de las columnas AS sea igual al total de la columna AS (Filas 21–38). Variable: 60 años (incluido en grupos de 60-64 años). De lo contrario, se marca como observación.";"Suma(AS) = Columna AS";;"Filas 21–38";Error;Activa;"Estructura Excel";;;
a09_b_at_sum_equals;A09;B;AT;"Compra de Servicio";"Suma igual al Total";"Valida que la suma de las columnas AT sea igual al total de la columna AT (Filas 21–38). Variable: Compra de Servicio. De lo contrario, se marca como observación.";"Suma(AT) = Columna AT";;"Filas 21–38";Error;Activa;"Estructura Excel";;;
a09_b_au_sum_equals;A09;B;AU;"Usuarios con Discapacidad";"Suma igual al Total";"Valida que la suma de las columnas AU sea igual al total de la columna AU (Filas 21–38). Variable: Usuarios con Discapacidad. De lo contrario, se marca como observación.";"Suma(AU) = Columna AU";;"Filas 21–38";Error;Activa;"Estructura Excel";;;
a09_b_av_sum_equals;A09;B;AV;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AV sea igual al total de la columna AV (Filas 21–38). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AV) = Columna AV";;"Filas 21–38";Error;Activa;"Estructura Excel";;;
a09_b_aw_sum_equals;A09;B;AW;"SENAME/ Servicio Nacional de Reinserción social Juvenil";"Suma igual al Total";"Valida que la suma de las columnas AW sea igual al total de la columna AW (Filas 21–38). Variable: SENAME/ Servicio Nacional de Reinserción social Juvenil. De lo contrario, se marca como observación.";"Suma(AW) = Columna AW";;"Filas 21–38";Error;Activa;"Estructura Excel";;;
a09_b_ax_sum_equals;A09;B;AX;"Servicio Nacional Protección Especializada a la Niñez y Adolescencia";"Suma igual al Total";"Valida que la suma de las columnas AX sea igual al total de la columna AX (Filas 21–38). Variable: Servicio Nacional Protección Especializada a la Niñez y Adolescencia. De lo contrario, se marca como observación.";"Suma(AX) = Columna AX";;"Filas 21–38";Error;Activa;"Estructura Excel";;;
a09_c_aq_sum_equals;A09;C;AQ;"12 años (incluido en el grupo de 10-14 años)";"Suma igual al Total";"Valida que la suma de las columnas AQ sea igual al total de la columna AQ (Filas 51–56). Variable: 12 años (incluido en el grupo de 10-14 años). De lo contrario, se marca como observación.";"Suma(AQ) = Columna AQ";;"Filas 51–56";Error;Activa;"Estructura Excel";;;
a09_c_ar_sum_equals;A09;C;AR;Gestantes;"Suma igual al Total";"Valida que la suma de las columnas AR sea igual al total de la columna AR (Filas 51–56). Variable: Gestantes. De lo contrario, se marca como observación.";"Suma(AR) = Columna AR";;"Filas 51–56";Error;Activa;"Estructura Excel";;;
a09_c_as_sum_equals;A09;C;AS;"60 años (incluido en grupos de 60-64 años)";"Suma igual al Total";"Valida que la suma de las columnas AS sea igual al total de la columna AS (Filas 51–56). Variable: 60 años (incluido en grupos de 60-64 años). De lo contrario, se marca como observación.";"Suma(AS) = Columna AS";;"Filas 51–56";Error;Activa;"Estructura Excel";;;
a09_c_at_sum_equals;A09;C;AT;"Usuarios con Discapacidad";"Suma igual al Total";"Valida que la suma de las columnas AT sea igual al total de la columna AT (Filas 51–56). Variable: Usuarios con Discapacidad. De lo contrario, se marca como observación.";"Suma(AT) = Columna AT";;"Filas 51–56";Error;Activa;"Estructura Excel";;;
a09_c_au_sum_equals;A09;C;AU;"SENAME/ Servicio Nacional de Reinserción social Juvenil";"Suma igual al Total";"Valida que la suma de las columnas AU sea igual al total de la columna AU (Filas 51–56). Variable: SENAME/ Servicio Nacional de Reinserción social Juvenil. De lo contrario, se marca como observación.";"Suma(AU) = Columna AU";;"Filas 51–56";Error;Activa;"Estructura Excel";;;
a09_c_av_sum_equals;A09;C;AV;"Servicio Nacional Protección Especializada a la Niñez y Adolescencia";"Suma igual al Total";"Valida que la suma de las columnas AV sea igual al total de la columna AV (Filas 51–56). Variable: Servicio Nacional Protección Especializada a la Niñez y Adolescencia. De lo contrario, se marca como observación.";"Suma(AV) = Columna AV";;"Filas 51–56";Error;Activa;"Estructura Excel";;;
a09_c_aw_sum_equals;A09;C;AW;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AW sea igual al total de la columna AW (Filas 51–56). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AW) = Columna AW";;"Filas 51–56";Error;Activa;"Estructura Excel";;;
a09_c_ax_sum_equals;A09;C;AX;"Persona con ingreso integral y condición crónica";"Suma igual al Total";"Valida que la suma de las columnas AX sea igual al total de la columna AX (Filas 51–56). Variable: Persona con ingreso integral y condición crónica. De lo contrario, se marca como observación.";"Suma(AX) = Columna AX";;"Filas 51–56";Error;Activa;"Estructura Excel";;;
a09_f.1_b_sum_equals;A09;F.1;B;"Total Cirugía Menor";"Suma igual al Total";"Valida que la suma de las columnas C + D + E sea igual al total de la columna B (Fila 148). Variable: Total Cirugía Menor. De lo contrario, se marca como observación.";"Suma(C + D + E) = Columna B";;"Fila 148";Error;Activa;"Estructura Excel";;;
a09_f.1_c_sum_equals;A09;F.1;C;"Cirugía Menor en Sala de procedimiento invasivo";"Suma igual al Total";"Valida que la suma de las columnas C sea igual al total de la columna C (Filas 148–157). Variable: Cirugía Menor en Sala de procedimiento invasivo. De lo contrario, se marca como observación.";"Suma(C) = Columna C";;"Filas 148–157";Error;Activa;"Estructura Excel";;;
a09_f.1_d_sum_equals;A09;F.1;D;"Cirugía Menor en Quirófano de menor complejidad";"Suma igual al Total";"Valida que la suma de las columnas D sea igual al total de la columna D (Filas 148–157). Variable: Cirugía Menor en Quirófano de menor complejidad. De lo contrario, se marca como observación.";"Suma(D) = Columna D";;"Filas 148–157";Error;Activa;"Estructura Excel";;;
a09_f.1_e_sum_equals;A09;F.1;E;"Cirugía menor Quirófano de mayor complejidad";"Suma igual al Total";"Valida que la suma de las columnas E sea igual al total de la columna E (Filas 148–157). Variable: Cirugía menor Quirófano de mayor complejidad. De lo contrario, se marca como observación.";"Suma(E) = Columna E";;"Filas 148–157";Error;Activa;"Estructura Excel";;;
a09_f.1_f_sum_equals;A09;F.1;F;"Implantes dentales";"Suma igual al Total";"Valida que la suma de las columnas F sea igual al total de la columna F. Variable: Implantes dentales. De lo contrario, se marca como observación.";"Suma(F) = Columna F";;—;Error;Activa;"Estructura Excel";;;
a09_f.1_g_sum_equals;A09;F.1;G;"Cirugía Tercer molar";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 148–157). Variable: Cirugía Tercer molar. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 148–157";Error;Activa;"Estructura Excel";;;
a09_f.1_h_sum_equals;A09;F.1;H;Discapacidad;"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 148–157). Variable: Discapacidad. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 148–157";Error;Activa;"Estructura Excel";;;
a09_f.1_i_sum_equals;A09;F.1;I;"Total de cirugias mayores en Quirófano de mayor  complejidad";"Suma igual al Total";"Valida que la suma de las columnas J + K sea igual al total de la columna I (Fila 148). Variable: Total de cirugias mayores en Quirófano de mayor  complejidad. De lo contrario, se marca como observación.";"Suma(J + K) = Columna I";;"Fila 148";Error;Activa;"Estructura Excel";;;
a09_f.1_j_sum_equals;A09;F.1;J;"Cirugía Mayor Ambulatoria Electiva/Urgencia en quirófano de mayor complejidad";"Suma igual al Total";"Valida que la suma de las columnas J sea igual al total de la columna J (Filas 148–157). Variable: Cirugía Mayor Ambulatoria Electiva/Urgencia en quirófano de mayor complejidad. De lo contrario, se marca como observación.";"Suma(J) = Columna J";;"Filas 148–157";Error;Activa;"Estructura Excel";;;
a09_f.1_k_sum_equals;A09;F.1;K;"Cirugía Mayor No Ambulatoria Electiva/Urgencia en quirófano de mayor complejidad";"Suma igual al Total";"Valida que la suma de las columnas K sea igual al total de la columna K (Filas 148–157). Variable: Cirugía Mayor No Ambulatoria Electiva/Urgencia en quirófano de mayor complejidad. De lo contrario, se marca como observación.";"Suma(K) = Columna K";;"Filas 148–157";Error;Activa;"Estructura Excel";;;
a09_f.1_l_sum_equals;A09;F.1;L;"Implantes dentales";"Suma igual al Total";"Valida que la suma de las columnas L sea igual al total de la columna L. Variable: Implantes dentales. De lo contrario, se marca como observación.";"Suma(L) = Columna L";;—;Error;Activa;"Estructura Excel";;;
a09_f.1_m_sum_equals;A09;F.1;M;"Cirugía Tercer molar";"Suma igual al Total";"Valida que la suma de las columnas M sea igual al total de la columna M (Filas 148–157). Variable: Cirugía Tercer molar. De lo contrario, se marca como observación.";"Suma(M) = Columna M";;"Filas 148–157";Error;Activa;"Estructura Excel";;;
a09_f.1_n_sum_equals;A09;F.1;N;Discapacidad;"Suma igual al Total";"Valida que la suma de las columnas N sea igual al total de la columna N (Filas 148–157). Variable: Discapacidad. De lo contrario, se marca como observación.";"Suma(N) = Columna N";;"Filas 148–157";Error;Activa;"Estructura Excel";;;
a09_f.2_aq_sum_equals;A09;F.2;AQ;"12 años (incluidos en  grupo de 10-14 años)";"Suma igual al Total";"Valida que la suma de las columnas AQ sea igual al total de la columna AQ (Filas 163–173). Variable: 12 años (incluidos en  grupo de 10-14 años). De lo contrario, se marca como observación.";"Suma(AQ) = Columna AQ";;"Filas 163–173";Error;Activa;"Estructura Excel";;;
a09_f.2_ar_sum_equals;A09;F.2;AR;Gestantes;"Suma igual al Total";"Valida que la suma de las columnas AR sea igual al total de la columna AR (Filas 163–173). Variable: Gestantes. De lo contrario, se marca como observación.";"Suma(AR) = Columna AR";;"Filas 163–173";Error;Activa;"Estructura Excel";;;
a09_f.2_as_sum_equals;A09;F.2;AS;"60 años (incluido en grupos de 60-64 años)";"Suma igual al Total";"Valida que la suma de las columnas AS sea igual al total de la columna AS (Filas 163–173). Variable: 60 años (incluido en grupos de 60-64 años). De lo contrario, se marca como observación.";"Suma(AS) = Columna AS";;"Filas 163–173";Error;Activa;"Estructura Excel";;;
a09_f.2_at_sum_equals;A09;F.2;AT;"Compra de Servicio";"Suma igual al Total";"Valida que la suma de las columnas AT sea igual al total de la columna AT (Filas 163–173). Variable: Compra de Servicio. De lo contrario, se marca como observación.";"Suma(AT) = Columna AT";;"Filas 163–173";Error;Activa;"Estructura Excel";;;
a09_f.2_au_sum_equals;A09;F.2;AU;"Usuarios con Discapacidad";"Suma igual al Total";"Valida que la suma de las columnas AU sea igual al total de la columna AU (Filas 163–173). Variable: Usuarios con Discapacidad. De lo contrario, se marca como observación.";"Suma(AU) = Columna AU";;"Filas 163–173";Error;Activa;"Estructura Excel";;;
a09_f.2_av_sum_equals;A09;F.2;AV;"SENAME/ Servicio Nacional de Reinserción social Juvenil";"Suma igual al Total";"Valida que la suma de las columnas AV sea igual al total de la columna AV (Filas 163–173). Variable: SENAME/ Servicio Nacional de Reinserción social Juvenil. De lo contrario, se marca como observación.";"Suma(AV) = Columna AV";;"Filas 163–173";Error;Activa;"Estructura Excel";;;
a09_f.2_aw_sum_equals;A09;F.2;AW;"Servicio Nacional Protección Especializada a la Niñez y Adolescencia";"Suma igual al Total";"Valida que la suma de las columnas AW sea igual al total de la columna AW (Filas 163–173). Variable: Servicio Nacional Protección Especializada a la Niñez y Adolescencia. De lo contrario, se marca como observación.";"Suma(AW) = Columna AW";;"Filas 163–173";Error;Activa;"Estructura Excel";;;
a09_f.2_ax_sum_equals;A09;F.2;AX;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas AX sea igual al total de la columna AX (Filas 163–173). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(AX) = Columna AX";;"Filas 163–173";Error;Activa;"Estructura Excel";;;
a09_g.1_ad_sum_equals;A09;G.1;AD;Total;"Suma igual al Total";"Valida que la suma de las columnas AE + AF + AG sea igual al total de la columna AD (Fila 232). Variable: Total. De lo contrario, se marca como observación.";"Suma(AE + AF + AG) = Columna AD";;"Fila 232";Error;Activa;"Estructura Excel";;;
a09_i_am_sum_equals;A09;I;AM;Gestantes;"Suma igual al Total";"Valida que la suma de las columnas AM sea igual al total de la columna AM. Variable: Gestantes. De lo contrario, se marca como observación.";"Suma(AM) = Columna AM";;—;Error;Activa;"Estructura Excel";;;
a09_i_an_sum_equals;A09;I;AN;"60 años (incluido en grupos de  60-64 años)";"Suma igual al Total";"Valida que la suma de las columnas AN sea igual al total de la columna AN. Variable: 60 años (incluido en grupos de  60-64 años). De lo contrario, se marca como observación.";"Suma(AN) = Columna AN";;—;Error;Activa;"Estructura Excel";;;
a09_i_aq_sum_equals;A09;I;AQ;Inasistente;"Suma igual al Total";"Valida que la suma de las columnas AQ sea igual al total de la columna AQ. Variable: Inasistente. De lo contrario, se marca como observación.";"Suma(AQ) = Columna AQ";;—;Error;Activa;"Estructura Excel";;;
a09_i_ar_sum_equals;A09;I;AR;"Compra de Servicio";"Suma igual al Total";"Valida que la suma de las columnas AR sea igual al total de la columna AR. Variable: Compra de Servicio. De lo contrario, se marca como observación.";"Suma(AR) = Columna AR";;—;Error;Activa;"Estructura Excel";;;
a09_i_as_sum_equals;A09;I;AS;"Ortodoncia interceptiva";"Suma igual al Total";"Valida que la suma de las columnas AS sea igual al total de la columna AS. Variable: Ortodoncia interceptiva. De lo contrario, se marca como observación.";"Suma(AS) = Columna AS";;—;Error;Activa;"Estructura Excel";;;
a09_i_at_sum_equals;A09;I;AT;"Usuarios con Discapacidad";"Suma igual al Total";"Valida que la suma de las columnas AT sea igual al total de la columna AT. Variable: Usuarios con Discapacidad. De lo contrario, se marca como observación.";"Suma(AT) = Columna AT";;—;Error;Activa;"Estructura Excel";;;
a09_i_au_sum_equals;A09;I;AU;"Usuarios Oncológicos";"Suma igual al Total";"Valida que la suma de las columnas AU sea igual al total de la columna AU. Variable: Usuarios Oncológicos. De lo contrario, se marca como observación.";"Suma(AU) = Columna AU";;—;Error;Activa;"Estructura Excel";;;
a09_i_av_sum_equals;A09;I;AV;"Contrarreferencia al alta";"Suma igual al Total";"Valida que la suma de las columnas AV sea igual al total de la columna AV. Variable: Contrarreferencia al alta. De lo contrario, se marca como observación.";"Suma(AV) = Columna AV";;—;Error;Activa;"Estructura Excel";;;
a09_i_ax_sum_equals;A09;I;AX;"Pueblos originarios";"Suma igual al Total";"Valida que la suma de las columnas AX sea igual al total de la columna AX. Variable: Pueblos originarios. De lo contrario, se marca como observación.";"Suma(AX) = Columna AX";;—;Error;Activa;"Estructura Excel";;;
a09_k_b_sum_equals;A09;K;B;ESPECIALIDADES;"Suma igual al Total";"Valida que la suma de las columnas CO + CP + CQ + CR + CS + CT + CU + CV + CW + CX + CY + CZ sea igual al total de la columna B (Filas 12–345). Variable: ESPECIALIDADES. De lo contrario, se marca como observación.";"Suma(CO + CP + CQ + CR + CS + CT + CU + CV + CW + CX + CY + CZ) = Columna B";;"Filas 12–345";Error;Activa;"Estructura Excel";;;
a11a_b_ca_required_and_le_parent;A11a;B;CA;"Pueblos Originarios";"Requerido y menor o igual al Total";"Valida que si la columna B (Total) tiene valor, entonces Pueblos Originarios debe tener un valor y este no puede superar el Total. Si la variable no corresponde, debe registrarse 0.";"Columna B > 0 AND Pueblos Originarios debe existir AND Pueblos Originarios <= Columna B";"=IF(AND(B22>0,C22=),"" * No olvide digitar la variable Pueblos Originarios. Digite cero si no tiene."",IF(C22>B22, "" * La variable Pueblos Originarios no puede ser mayor al Total."",))";—;Advertencia;Activa;"Estructura Excel";;;
a11a_b_cb_required_and_le_parent;A11a;B;CB;Migrantes;"Requerido y menor o igual al Total";"Valida que si la columna B (Total) tiene valor, entonces Migrantes debe tener un valor y este no puede superar el Total. Si la variable no corresponde, debe registrarse 0.";"Columna B > 0 AND Migrantes debe existir AND Migrantes <= Columna B";"=IF(AND(B22>0,D22=),"" * No olvide digitar la variable Migrantes. Digite cero si no tiene."",IF(D22>B22, "" * La variable Migrantes no puede ser mayor al Total."",))";—;Advertencia;Activa;"Estructura Excel";;;
a11a_b_cg_required_and_le_parent;A11a;B;CG;"Columna CG";"Requerido y menor o igual al Total";"Valida que si la columna B (Total) tiene valor, entonces Columna CG debe tener un valor y este no puede superar el Total. Si la variable no corresponde, debe registrarse 0.";"Columna B > 0 AND Columna CG debe existir AND Columna CG <= Columna B";=IF(AND(B22>0,C22=),1,IF(C22>B22,1,0));—;Advertencia;Activa;"Estructura Excel";;;
a11a_b_ch_required_and_le_parent;A11a;B;CH;"Columna CH";"Requerido y menor o igual al Total";"Valida que si la columna B (Total) tiene valor, entonces Columna CH debe tener un valor y este no puede superar el Total. Si la variable no corresponde, debe registrarse 0.";"Columna B > 0 AND Columna CH debe existir AND Columna CH <= Columna B";=IF(AND(B22>0,D22=),1,IF(D22>B22,1,0));—;Advertencia;Activa;"Estructura Excel";;;
a11a_c_b_sum_equals;A11a;C;B;"Columna B";"Suma igual al Total";"Valida que la suma de las columnas C + D + E + F + G + H + I + J + K sea igual al total de la columna B (Fila 28). Variable: Columna B. De lo contrario, se marca como observación.";"Suma(C + D + E + F + G + H + I + J + K) = Columna B";=SUM(C27:K27);"Fila 28";Error;Activa;"Estructura Excel";;;
a11a_c_ca_required_and_le_parent;A11a;C;CA;"Pueblos Originarios";"Requerido y menor o igual al Total";"Valida que si la columna B (Total) tiene valor, entonces Pueblos Originarios debe tener un valor y este no puede superar el Total. Si la variable no corresponde, debe registrarse 0.";"Columna B > 0 AND Pueblos Originarios debe existir AND Pueblos Originarios <= Columna B";"=IF(AND(B27>0,L27=),"" No olvide digitar la variable Pueblos Originarios. Digite cero si no tiene."",IF(L27>B27,"" * La variable Pueblos Originarios no puede ser mayor al Total."",))";—;Advertencia;Activa;"Estructura Excel";;;
a11a_c_cb_required_and_le_parent;A11a;C;CB;Migrantes;"Requerido y menor o igual al Total";"Valida que si la columna B (Total) tiene valor, entonces Migrantes debe tener un valor y este no puede superar el Total. Si la variable no corresponde, debe registrarse 0.";"Columna B > 0 AND Migrantes debe existir AND Migrantes <= Columna B";"=IF(AND(B27>0,M27=),"" No olvide digitar la variable Migrantes. Digite cero si no tiene."",IF(M27>B27,"" * La variable Migrantes no puede ser mayor al Total."",))";—;Advertencia;Activa;"Estructura Excel";;;
a11a_c_cg_required_and_le_parent;A11a;C;CG;"Columna CG";"Requerido y menor o igual al Total";"Valida que si la columna B (Total) tiene valor, entonces Columna CG debe tener un valor y este no puede superar el Total. Si la variable no corresponde, debe registrarse 0.";"Columna B > 0 AND Columna CG debe existir AND Columna CG <= Columna B";=IF(AND(B27>0,L27=),1,IF(L27>B27,1,0));—;Advertencia;Activa;"Estructura Excel";;;
a11a_c_ch_required_and_le_parent;A11a;C;CH;"Columna CH";"Requerido y menor o igual al Total";"Valida que si la columna B (Total) tiene valor, entonces Columna CH debe tener un valor y este no puede superar el Total. Si la variable no corresponde, debe registrarse 0.";"Columna B > 0 AND Columna CH debe existir AND Columna CH <= Columna B";=IF(AND(B27>0,M27=),1,IF(M27>B27,1,0));—;Advertencia;Activa;"Estructura Excel";;;
